Agency,Mode,Month,Riders
City of Seattle,Monorail,5/1/2016,0
City of Seattle,Monorail,6/1/2016,0
City of Seattle,Monorail,7/1/2016,0
City of Seattle,Monorail,8/1/2016,0
City of Seattle,Monorail,9/1/2016,0
City of Seattle,Monorail,10/1/2016,0
City of Seattle,Monorail,11/1/2016,0
City of Seattle,Monorail,12/1/2016,0
City of Seattle,Monorail,1/1/2017,0
City of Seattle,Monorail,2/1/2017,0
City of Seattle,Monorail,3/1/2017,0
City of Seattle,Monorail,4/1/2017,0
City of Seattle,Monorail,5/1/2017,0
City of Seattle,Monorail,6/1/2017,0
City of Seattle,Monorail,7/1/2017,0
City of Seattle,Monorail,8/1/2017,0
City of Seattle,Monorail,9/1/2017,0
City of Seattle,Monorail,10/1/2017,0
City of Seattle,Monorail,11/1/2017,0
City of Seattle,Monorail,12/1/2017,0
City of Seattle,Monorail,1/1/2018,0
City of Seattle,Monorail,2/1/2018,0
City of Seattle,Monorail,3/1/2018,0
City of Seattle,Monorail,4/1/2018,0
City of Seattle,Monorail,5/1/2018,0
City of Seattle,Monorail,6/1/2018,0
City of Seattle,Monorail,7/1/2018,0
City of Seattle,Monorail,8/1/2018,0
City of Seattle,Monorail,9/1/2018,0
City of Seattle,Monorail,10/1/2018,0
City of Seattle,Monorail,11/1/2018,0
City of Seattle,Monorail,12/1/2018,0
City of Seattle,Monorail,1/1/2019,0
City of Seattle,Monorail,2/1/2019,0
City of Seattle,Monorail,3/1/2019,0
City of Seattle,Monorail,4/1/2019,0
City of Seattle,Monorail,5/1/2019,0
City of Seattle,Monorail,6/1/2019,0
City of Seattle,Monorail,7/1/2019,0
City of Seattle,Monorail,8/1/2019,0
City of Seattle,Monorail,9/1/2019,0
City of Seattle,Monorail,10/1/2019,0
City of Seattle,Monorail,11/1/2019,0
City of Seattle,Monorail,12/1/2019,0
City of Seattle,Monorail,1/1/2020,0
City of Seattle,Monorail,2/1/2020,0
City of Seattle,Monorail,3/1/2020,0
City of Seattle,Monorail,4/1/2020,0
City of Seattle,Monorail,5/1/2020,0
City of Seattle,Monorail,6/1/2020,0
City of Seattle,Monorail,7/1/2020,0
City of Seattle,Monorail,8/1/2020,0
City of Seattle,Monorail,9/1/2020,0
City of Seattle,Monorail,10/1/2020,0
City of Seattle,Monorail,11/1/2020,0
City of Seattle,Monorail,12/1/2020,0
City of Seattle,Monorail,1/1/2021,0
City of Seattle,Monorail,2/1/2021,0
City of Seattle,Monorail,3/1/2021,0
City of Seattle,Monorail,4/1/2021,0
City of Seattle,Monorail,5/1/2021,0
City of Seattle,Monorail,6/1/2021,0
City of Seattle,Monorail,7/1/2021,0
City of Seattle,Monorail,8/1/2021,0
City of Seattle,Monorail,9/1/2021,0
City of Seattle,Monorail,10/1/2021,0
City of Seattle,Monorail,11/1/2021,0
City of Seattle,Monorail,12/1/2021,0
City of Seattle,Monorail,1/1/2022,0
City of Seattle,Monorail,2/1/2022,0
City of Seattle,Monorail,3/1/2022,0
City of Seattle,Monorail,4/1/2022,0
City of Seattle,Monorail,5/1/2022,0
City of Seattle,Monorail,6/1/2022,0
City of Seattle,Monorail,7/1/2022,0
City of Seattle,Monorail,8/1/2022,0
City of Seattle,Monorail,9/1/2022,0
City of Seattle,Monorail,10/1/2022,0
City of Seattle,Monorail,11/1/2022,0
City of Seattle,Monorail,12/1/2022,0
City of Seattle,Monorail,1/1/2023,0
County of Pierce,FerryBoat,1/1/2012,11712
County of Pierce,FerryBoat,2/1/2012,12394
County of Pierce,FerryBoat,3/1/2012,13578
County of Pierce,FerryBoat,4/1/2012,14212
County of Pierce,FerryBoat,5/1/2012,16799
County of Pierce,FerryBoat,6/1/2012,16222
County of Pierce,FerryBoat,7/1/2012,19926
County of Pierce,FerryBoat,8/1/2012,21589
County of Pierce,FerryBoat,9/1/2012,15951
County of Pierce,FerryBoat,10/1/2012,14568
County of Pierce,FerryBoat,11/1/2012,13125
County of Pierce,FerryBoat,12/1/2012,13356
County of Pierce,FerryBoat,1/1/2013,12696
County of Pierce,FerryBoat,2/1/2013,11995
County of Pierce,FerryBoat,3/1/2013,13967
County of Pierce,FerryBoat,4/1/2013,13444
County of Pierce,FerryBoat,5/1/2013,15706
County of Pierce,FerryBoat,6/1/2013,16394
County of Pierce,FerryBoat,7/1/2013,20594
County of Pierce,FerryBoat,8/1/2013,21460
County of Pierce,FerryBoat,9/1/2013,14651
County of Pierce,FerryBoat,10/1/2013,13731
County of Pierce,FerryBoat,11/1/2013,14375
County of Pierce,FerryBoat,12/1/2013,13825
County of Pierce,FerryBoat,1/1/2014,13180
County of Pierce,FerryBoat,2/1/2014,12015
County of Pierce,FerryBoat,3/1/2014,13997
County of Pierce,FerryBoat,4/1/2014,14921
County of Pierce,FerryBoat,5/1/2014,17197
County of Pierce,FerryBoat,6/1/2014,16603
County of Pierce,FerryBoat,7/1/2014,22787
County of Pierce,FerryBoat,8/1/2014,22205
County of Pierce,FerryBoat,9/1/2014,15815
County of Pierce,FerryBoat,10/1/2014,14956
County of Pierce,FerryBoat,11/1/2014,13334
County of Pierce,FerryBoat,12/1/2014,14178
County of Pierce,FerryBoat,1/1/2015,13364
County of Pierce,FerryBoat,2/1/2015,12578
County of Pierce,FerryBoat,3/1/2015,14242
County of Pierce,FerryBoat,4/1/2015,14897
County of Pierce,FerryBoat,5/1/2015,17048
County of Pierce,FerryBoat,6/1/2015,17712
County of Pierce,FerryBoat,7/1/2015,21604
County of Pierce,FerryBoat,8/1/2015,20051
County of Pierce,FerryBoat,9/1/2015,16555
County of Pierce,FerryBoat,10/1/2015,15153
County of Pierce,FerryBoat,11/1/2015,12567
County of Pierce,FerryBoat,12/1/2015,12082
County of Pierce,FerryBoat,1/1/2016,27794
County of Pierce,FerryBoat,2/1/2016,25920
County of Pierce,FerryBoat,3/1/2016,30916
County of Pierce,FerryBoat,4/1/2016,31617
County of Pierce,FerryBoat,5/1/2016,37057
County of Pierce,FerryBoat,6/1/2016,36543
County of Pierce,FerryBoat,7/1/2016,47003
County of Pierce,FerryBoat,8/1/2016,45912
County of Pierce,FerryBoat,9/1/2016,37700
County of Pierce,FerryBoat,10/1/2016,29392
County of Pierce,FerryBoat,11/1/2016,26437
County of Pierce,FerryBoat,12/1/2016,29290
County of Pierce,FerryBoat,1/1/2017,29331
County of Pierce,FerryBoat,2/1/2017,25904
County of Pierce,FerryBoat,3/1/2017,30260
County of Pierce,FerryBoat,4/1/2017,31436
County of Pierce,FerryBoat,5/1/2017,37244
County of Pierce,FerryBoat,6/1/2017,49954
County of Pierce,FerryBoat,7/1/2017,48017
County of Pierce,FerryBoat,8/1/2017,47024
County of Pierce,FerryBoat,9/1/2017,39817
County of Pierce,FerryBoat,10/1/2017,33950
County of Pierce,FerryBoat,11/1/2017,31070
County of Pierce,FerryBoat,12/1/2017,32273
County of Pierce,FerryBoat,1/1/2018,29124
County of Pierce,FerryBoat,2/1/2018,26248
County of Pierce,FerryBoat,3/1/2018,32380
County of Pierce,FerryBoat,4/1/2018,32311
County of Pierce,FerryBoat,5/1/2018,39813
County of Pierce,FerryBoat,6/1/2018,40784
County of Pierce,FerryBoat,7/1/2018,53872
County of Pierce,FerryBoat,8/1/2018,48499
County of Pierce,FerryBoat,9/1/2018,38271
County of Pierce,FerryBoat,10/1/2018,35456
County of Pierce,FerryBoat,11/1/2018,33372
County of Pierce,FerryBoat,12/1/2018,32886
County of Pierce,FerryBoat,1/1/2019,32017
County of Pierce,FerryBoat,2/1/2019,25432
County of Pierce,FerryBoat,3/1/2019,35315
County of Pierce,FerryBoat,4/1/2019,35362
County of Pierce,FerryBoat,5/1/2019,42708
County of Pierce,FerryBoat,6/1/2019,41916
County of Pierce,FerryBoat,7/1/2019,51227
County of Pierce,FerryBoat,8/1/2019,52553
County of Pierce,FerryBoat,9/1/2019,39373
County of Pierce,FerryBoat,10/1/2019,36366
County of Pierce,FerryBoat,11/1/2019,34299
County of Pierce,FerryBoat,12/1/2019,33947
County of Pierce,FerryBoat,1/1/2020,31532
County of Pierce,FerryBoat,2/1/2020,32109
County of Pierce,FerryBoat,3/1/2020,26789
County of Pierce,FerryBoat,4/1/2020,23061
County of Pierce,FerryBoat,5/1/2020,33119
County of Pierce,FerryBoat,6/1/2020,37263
County of Pierce,FerryBoat,7/1/2020,47132
County of Pierce,FerryBoat,8/1/2020,46689
County of Pierce,FerryBoat,9/1/2020,37786
County of Pierce,FerryBoat,10/1/2020,33782
County of Pierce,FerryBoat,11/1/2020,29124
County of Pierce,FerryBoat,12/1/2020,31586
County of Pierce,FerryBoat,1/1/2021,29883
County of Pierce,FerryBoat,2/1/2021,26169
County of Pierce,FerryBoat,3/1/2021,34450
County of Pierce,FerryBoat,4/1/2021,37874
County of Pierce,FerryBoat,5/1/2021,41850
County of Pierce,FerryBoat,6/1/2021,43481
County of Pierce,FerryBoat,7/1/2021,51215
County of Pierce,FerryBoat,8/1/2021,47458
County of Pierce,FerryBoat,9/1/2021,39485
County of Pierce,FerryBoat,10/1/2021,35526
County of Pierce,FerryBoat,11/1/2021,32461
County of Pierce,FerryBoat,12/1/2021,30885
County of Pierce,FerryBoat,1/1/2022,29395
County of Pierce,FerryBoat,2/1/2022,29884
County of Pierce,FerryBoat,3/1/2022,34633
County of Pierce,FerryBoat,4/1/2022,33612
County of Pierce,FerryBoat,5/1/2022,30646
County of Pierce,FerryBoat,6/1/2022,40806
County of Pierce,FerryBoat,7/1/2022,50535
County of Pierce,FerryBoat,8/1/2022,48435
County of Pierce,FerryBoat,9/1/2022,40415
County of Pierce,FerryBoat,10/1/2022,35724
County of Pierce,FerryBoat,11/1/2022,32139
County of Pierce,FerryBoat,12/1/2022,32161
County of Pierce,FerryBoat,1/1/2023,0
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2012,0
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2012,0
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2012,0
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2012,0
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2012,0
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2012,0
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2012,0
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2012,0
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2012,0
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2012,0
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2012,0
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2012,0
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2013,104977
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2013,97806
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2013,94100
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2013,109987
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2013,107944
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2013,86541
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2013,91422
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2013,87180
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2013,84758
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2013,128314
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2013,98961
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2013,77456
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2014,108614
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2014,101090
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2014,100098
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2014,114142
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2014,106810
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2014,92660
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2014,94234
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2014,82845
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2014,93617
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2014,126091
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2014,91811
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2014,82925
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2015,103262
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2015,99544
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2015,104335
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2015,113214
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2015,99968
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2015,96532
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2015,90134
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2015,82316
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2015,84971
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2015,117536
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2015,95498
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2015,88566
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2016,102674
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2016,104904
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2016,108847
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2016,104780
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2016,104376
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2016,93735
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2016,82063
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2016,92805
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2016,89421
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2016,114586
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2016,103215
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2016,83360
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2017,105370
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2017,94112
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2017,106931
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2017,100220
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2017,107441
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2017,91452
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2017,82321
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2017,92520
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2017,86131
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2017,118064
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2017,103560
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2017,79960
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2018,113216
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2018,100628
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2018,106735
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2018,109712
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2018,114394
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2018,92642
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2018,92269
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2018,96144
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2018,85008
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2018,129859
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2018,104969
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2018,77756
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2019,113241
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2019,80108
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2019,101354
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2019,117673
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2019,116544
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2019,94402
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2019,98514
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2019,93958
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2019,93995
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2019,133421
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2019,103270
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2019,82511
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2020,104789
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2020,105562
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2020,43445
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2020,6687
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2020,7078
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2020,10164
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2020,11673
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2020,11528
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2020,14018
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2020,17280
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2020,13950
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2020,15272
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2021,15120
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2021,15189
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2021,18325
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2021,18094
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2021,16896
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2021,18622
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2021,20471
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2021,22189
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2021,27216
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2021,29745
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2021,24798
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2021,20422
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2022,19216
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2022,21825
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2022,25278
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2022,21572
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2022,21936
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2022,21333
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2022,18720
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2022,21489
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2022,21250
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2022,26088
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2022,22851
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2022,17163
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2023,19562
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2012,117926
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2012,129401
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2012,133301
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2012,125158
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2012,129476
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2012,124512
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2012,136683
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2012,129871
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2012,111829
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2012,140724
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2012,120763
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2012,105523
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2013,129079
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2013,115282
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2013,126133
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2013,133336
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2013,131865
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2013,119624
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2013,126871
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2013,129615
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2013,121622
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2013,141446
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2013,115569
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2013,109124
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2014,134790
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2014,123060
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2014,135373
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2014,140267
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2014,132927
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2014,136741
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2014,140393
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2014,133358
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2014,139135
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2014,156129
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2014,123783
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2014,133609
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2015,134934
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2015,129824
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2015,145392
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2015,146055
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2015,129481
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2015,145078
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2015,142981
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2015,136608
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2015,137069
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2015,146291
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2015,128915
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2015,133605
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2016,133558
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2016,136745
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2016,158693
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2016,139306
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2016,139741
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2016,147069
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2016,128306
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2016,150591
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2016,137557
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2016,144726
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2016,139037
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2016,128046
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2017,143358
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2017,129704
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2017,162726
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2017,138917
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2017,149334
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2017,150983
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2017,131680
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2017,154219
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2017,135836
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2017,157275
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2017,142269
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2017,125466
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2018,155608
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2018,137616
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2018,153200
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2018,147142
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2018,155053
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,6/1/2018,147025
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,7/1/2018,143111
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,8/1/2018,155630
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,9/1/2018,133406
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,10/1/2018,170253
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,11/1/2018,145799
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,12/1/2018,126860
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,1/1/2019,160749
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,2/1/2019,116137
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,3/1/2019,154806
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,4/1/2019,163552
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,5/1/2019,163206
